,ProxTarget,Method,TDL
0,-60,ECAVCProx,-2.256781849
1,-60,ECAVCProx,-2.582704305
2,-60,ECAVCProx,-2.908626762
3,-60,ECAVCProx,-3.234549218
4,-60,ECAVCProx,-3.560471674
5,-60,ECAVCProx,-3.88639413
6,-60,ECAVCProx,-4.212316586
7,-60,ECAVCProx,-4.538239043
8,-60,ECAVCProx,-4.864161499
9,-45,ECAVCProx,-1.340162399
10,-45,ECAVCProx,-1.672710238
11,-45,ECAVCProx,-2.005258077
12,-45,ECAVCProx,-2.337805916
13,-45,ECAVCProx,-2.670353756
14,-45,ECAVCProx,-3.002901595
15,-45,ECAVCProx,-3.335449434
16,-45,ECAVCProx,-3.667997273
17,-45,ECAVCProx,-4.000545112
18,-30,ECAVCProx,-0.424301078
19,-30,ECAVCProx,-0.763284767
20,-30,ECAVCProx,-1.102268457
21,-30,ECAVCProx,-1.441252147
22,-30,ECAVCProx,-1.780235837
23,-30,ECAVCProx,-2.119219527
24,-30,ECAVCProx,-2.458203217
25,-30,ECAVCProx,-2.797186907
26,-30,ECAVCProx,-3.136170596
27,-15,ECAVCProx,0.490802115
28,-15,ECAVCProx,0.145572107
29,-15,ECAVCProx,-0.199657902
30,-15,ECAVCProx,-0.54488791
31,-15,ECAVCProx,-0.890117919
32,-15,ECAVCProx,-1.235347927
33,-15,ECAVCProx,-1.580577935
34,-15,ECAVCProx,-1.925807944
35,-15,ECAVCProx,-2.271037952
36,0,ECAVCProx,1.405147179
37,0,ECAVCProx,1.053860384
38,0,ECAVCProx,0.70257359
39,0,ECAVCProx,0.351286795
40,0,ECAVCProx,0.0
41,0,ECAVCProx,-0.351286795
42,0,ECAVCProx,-0.70257359
43,0,ECAVCProx,-1.053860384
44,0,ECAVCProx,-1.405147179
45,15,ECAVCProx,2.318734114
46,15,ECAVCProx,1.961580065
47,15,ECAVCProx,1.604426016
48,15,ECAVCProx,1.247271967
49,15,ECAVCProx,0.890117919
50,15,ECAVCProx,0.53296387
51,15,ECAVCProx,0.175809821
52,15,ECAVCProx,-0.181344228
53,15,ECAVCProx,-0.538498277
54,30,ECAVCProx,3.231562921
55,30,ECAVCProx,2.86873115
56,30,ECAVCProx,2.505899379
57,30,ECAVCProx,2.143067608
58,30,ECAVCProx,1.780235837
59,30,ECAVCProx,1.417404066
60,30,ECAVCProx,1.054572295
61,30,ECAVCProx,0.691740524
62,30,ECAVCProx,0.328908753
63,45,ECAVCProx,4.143633599
64,45,ECAVCProx,3.775313638
65,45,ECAVCProx,3.406993677
66,45,ECAVCProx,3.038673716
67,45,ECAVCProx,2.670353756
68,45,ECAVCProx,2.302033795
69,45,ECAVCProx,1.933713834
70,45,ECAVCProx,1.565393873
71,45,ECAVCProx,1.197073912
72,60,ECAVCProx,5.054946148
73,60,ECAVCProx,4.681327529
74,60,ECAVCProx,4.307708911
75,60,ECAVCProx,3.934090292
76,60,ECAVCProx,3.560471674
77,60,ECAVCProx,3.186853056
78,60,ECAVCProx,2.813234437
79,60,ECAVCProx,2.439615819
80,60,ECAVCProx,2.0659972
81,-60,ECAVCDist,-8.424633173
82,-60,ECAVCDist,-7.208592798
83,-60,ECAVCDist,-5.992552424
84,-60,ECAVCDist,-4.776512049
85,-60,ECAVCDist,-3.560471674
86,-60,ECAVCDist,-2.344431299
87,-60,ECAVCDist,-1.128390925
88,-60,ECAVCDist,0.08764945
89,-60,ECAVCDist,1.303689825
90,-45,ECAVCDist,-7.561016786
91,-45,ECAVCDist,-6.338351028
92,-45,ECAVCDist,-5.115685271
93,-45,ECAVCDist,-3.893019513
